"","X","Filename","LI","session","LI.mean","LI.se","LI.N","A_param1","A_param2","A_param3","A_param4","A_LI.est","A_LIest.se","A_p.interact","A_R2","A_AIC","A_BIC","B_param1","B_param2","B_param3","B_LI.est","B_LIest.se","B_p.interact","B_R2","B_AIC","B_BIC","C_param1","C_param2","C_param3","C_LI.est","C_LIest.se","C_p.interact","C_R2","C_AIC","C_BIC"
"76",76,"A2_010_D2",-1.759737463,2,-1.72526621699863,0.475283811124435,15,-102.72325893762,-1.62447356317949,-11.3947884101766,0.0607260831837359,-0.808456206527236,0.796810772409896,0.31,0.40068975054926,7373.1,7418.4,102.08504622892,1.1484902009757,-0.503578495591325,1.39058429056635,0.723875494332673,0.05,0.49355150075442,7187.6,7299.9,103.52606183044,0.626172407532194,-0.503578495766391,1.39058429047803,0.398404504150941,0,0.846589170264967,5932.8,6612.6
"77",77,"A2_011_D2",2.792383301,2,3.17884530558871,0.683258156588563,15,-104.864761608763,-1.08244456664801,-1.59434522377776,0.0720505086936477,2.24951919914745,0.729044564550043,0,0.0617228835739911,5462.4,5505.6,101.837209080052,-1.46981225200317,0.65151875218335,-2.2381276705913,0.626956643595166,0,0.281315271533825,5227.2,5328.1,101.943423308743,-0.462478227042236,0.651518752175955,2.23812767061456,0.32355574785276,0,0.808591315894555,4129.4,4718.7
"78",78,"A2_012_D2",2.683776794,2,2.59902625888638,0.540088040062651,15,-98.8519023189228,-5.62755195574841,2.56459647105757,-0.0611583513413112,2.06916673674044,0.880357508001806,0.02,0.124426977262726,9197.8,9244.7,104.130505587845,-4.14572276878665,0.618050145216158,-1.67269989552754,0.781234670091582,0.03,0.275400036591768,8949.9,9065.6,104.365673725516,-2.72737492848017,0.618050145215756,-1.67269989552753,0.38463966686028,0,0.82435191041219,7157.9,7884
"79",79,"A2_014_D2",1.534275965,2,1.29229535295597,0.779374975766705,15,-108.44417360628,2.1320009494064,2.96137771294809,0.39015010974033,1.93912490665974,0.844285034343029,0.02,0.124684205955868,6990,7034.8,102.45706520841,0.0107913457847968,0.270732761253581,-2.01479179896755,0.747407280273171,0.01,0.276338914099653,6793.1,6905,102.789259066962,0.828482726597432,0.270732761282872,2.01479179898009,0.473535970659443,0,0.70951312095668,5919.4,6576.9
"80",80,"A2_015_D2",4.984876501,2,4.99296053605375,1.10409577444281,15,-103.930835762069,-2.8140306520826,-1.46892108602494,-0.138837185761738,5.63026276404952,0.673256592183258,0,0.100155069731545,6682.1,6727.1,101.732942794593,0.797708387869174,1.73736798176203,-4.92256540416291,0.632694177657623,0,0.177710554631039,6588.9,6696.8,101.428717591927,1.98100558186293,1.73736798169738,-4.92256540413134,0.46382964271427,0,0.55806943370748,6000.7,6597.4
"81",81,"A2_016_D2",2.968186504,2,2.97849155998132,0.829504919708,15,-104.744606050667,-1.07579848245662,2.97562441868408,-0.0838673243459143,2.28532247433147,0.790574607719336,0,0.0821127227166414,5109.1,5151.6,101.16167624475,-0.726665712494417,0.617526809242739,-1.65551664019605,0.758908088040483,0.03,0.132420323500979,5067.4,5169,101.632907762706,-0.220195209676803,0.617526809242981,1.65551664019588,0.370937009662267,0,0.79273243737519,3977.4,4611.9
"82",82,"A2_017_D2",4.053235903,2,4.09286695483676,0.699984479884184,15,-106.700758783185,-4.14415835429376,-1.25561734374287,0.426084390348485,3.62454097667034,0.667753399278161,0,0.122595474208604,7100.4,7145.9,102.372950763764,0.0915953364143338,0.672148669854372,-3.37609791673072,0.606268132629489,0,0.241975313301232,6934.4,7031.5,101.167570418958,1.77725273276433,0.672148669876339,-3.37609791681973,0.36928808017265,0,0.718755235067187,5894.6,6569.5
"83",83,"A2_019_D2",0.59508551,2,0.640378698266828,0.376712411282832,15,-104.796843424516,-4.85192350716289,0.147033515889859,0.116240792469358,0.546705041659062,0.846879841943296,0.52,0.0920846309017553,8610.4,8656.8,104.33359352378,-4.39650463042814,0.0547742225297532,-0.521036295045015,0.761802251395288,0.49,0.23480887788718,8397.7,8513.2,102.786543832566,-0.177571081556097,0.0547742225248139,0.521036295047729,0.348958227758827,0.14,0.839441868944826,6510,7239.3
"84",84,"A2_020_D2",3.299434074,2,3.38477204098247,0.57843363164822,15,-101.21317350633,-5.16830100062201,-4.42671193924924,0.0224590978014534,3.02358928131002,0.601398164804646,0,0.158485012311233,6741.3,6786.6,102.22465318938,-1.09755652763142,0.917166524814673,-2.8430356234021,0.517563970316617,0,0.347406189900581,6457.1,6564.7,102.058953066667,-0.579108823955706,0.917166524782648,-2.8430356234815,0.330791099315344,0,0.733423102394967,5539.2,6194
"85",85,"A2_021_D2",2.153579125,2,2.17139890144496,0.643989304069588,15,-102.654571557292,-4.84086593097968,-3.71168648505297,0.139128566483191,2.31049422826685,0.613485281290212,0,0.117564112209271,8262.7,8309.5,102.170111324799,0.493677921172326,0.579256050046907,-2.2016467964678,0.563210160642143,0,0.232062906525682,8081.3,8196.3,101.304035390622,1.26936503800837,0.579256050078756,2.20164679652753,0.322109169318437,0,0.748816643723636,6681.7,7389.8
